Lista de Devedores - PGFN


Filtros Utilizados:
"Nome: massa falida"
"Natureza da dívida"


Data da pesquisa: 21/01/2023 17:49


CPF/CNPJ;Nome;Nome Fantasia;Valor Total;Valor da Dívida Selecionada
"01.597.168/0001-99";"TINTO HOLDING LTDA MASSA FALIDA";;"9.666.725.271,00"
"28.929.677/0001-28";"MASSA FALIDA USINA NOVO HORIZONTE LTDA.";;"2.676.935.545,77"
"01.556.141/0001-58";"MASSA FALIDA  ENCOL SA ENGENHARIA COMERCIO E INDUSTRIA";"ENCOL SA ENGENHARIA COMERCIO E INDUSTRIA";"1.601.536.808,43"
"46.761.730/0001-06";"SMAR EQUIPAMENTOS INDUSTRIAIS LTDA MASSA FALIDA";"SMAR";"1.569.609.454,70"
"25.068.875/0001-56";"MASSA FALIDA FRIGORIFICO MARGEN LTDA";"MARGEN TRANSPORTES";"1.243.953.638,50"
"02.091.715/0001-22";"MASSA FALIDA DE BELO HORIZONTE REFRIGERANTES LTDA";;"982.351.500,95"
"25.100.223/0001-51";"MASSA FALIDA DE RODOVIARIO RAMOS LTDA";;"952.087.092,88"
"84.683.879/0001-03";"MASSA FALIDA DE BUSSCAR ONIBUS S.A.";;"837.316.486,41"
"02.091.715/0002-03";"MASSA FALIDA DE BELO HORIZONTE REFRIGERANTES LTDA";;"767.147.006,28"
"04.450.767/0001-73";"MASSA FALIDA DE PROEMA AUTOMOTIVA SA";"DIVISAO DE SITEMAS DE DIRECAO";"759.994.258,19"
"04.253.269/0001-30";"COTTONORTH TECELAGEM E CONFECCOES SA  MASSA FALIDA";"COTTONORTH";"753.453.671,29"
"04.060.784/0001-02";"MASSA FALIDA DE COTTON  KING LTDA";;"722.422.655,08"
"14.961.312/0001-76";"AGROPECUARIA SAO LUCAS SA  MASSA FALIDA";"FAZENDA SAO LUCAS";"631.446.917,81"
"36.967.479/0001-87";"PYRAMID CONFECCOES SA  MASSA FALIDA";;"613.855.200,26"
"07.023.638/0001-97";"MASSA FALIDA DA ON TIME FACTORING E FOMENTO MERCANTIL SA";;"566.323.498,98"
"10.815.827/0001-07";"MASSA FALIDA DA CIA IND DO NORDESTE BRASILEIRO";"USINA CATENDE";"555.105.444,57"
"43.551.969/0001-63";"MASSA FALIDA NOVA CARNE COMERCIAL LTDA";;"554.944.085,97"
"00.850.146/0001-26";"MASSA FALIDA DE CLIMA TERMOACUSTICA LTDA";;"521.652.949,94"
"52.007.010/0001-52";"MASSA FALIDA DE PROL EDITORA GRAFICA LTDA";;"412.283.405,31"
"59.107.797/0001-73";"MASSA FALIDA DE KARMANN GHIA AUTOMOVEIS CONJUNTOS E SISTEMAS EIRELI";;"402.340.758,25"
"07.814.999/0001-51";"MASSA FALIDA DO BANCO COMERCIAL BANCESA SA";"BANCESA";"392.506.669,77"
"05.250.219/0001-62";"MASSA FALIDA DE DIVIGUSA APOIO ADMINISTRATIVO LTDA";;"363.037.769,45"
"21.706.155/0001-18";"MASSA FALIDA DA ALVORADA DO BEBEDOURO SA  ACUCAR E ALCOOL";;"298.606.616,72"
"31.667.900/0001-10";"MASSA FALIDA CONSERVAS RUBI S A";;"291.444.380,09"
"06.702.112/0001-70";"MASSA FALIDA DO BANCO PONTUAL SA";;"257.015.515,71"
"82.636.911/0001-74";"MASSA FALIDA DE SUL FABRIL S.A.";;"247.663.163,87"
"29.508.751/0001-03";"MASSA FALIDA DE SOLETUR SOL AGENCIA DE VIAGENS E TURISMO LTDA";;"239.472.605,19"
"43.406.578/0001-55";"ELECTROCAST INDUSTRIA E COMERCIO LTDA  MASSA FALIDA";"CIBERTRON";"231.848.768,41"
"33.087.131/0001-07";"MASSA FALIDA DE TRANSPORTES AMIGOS UNIDOS S A";;"226.127.631,18"
"00.169.338/0001-71";"VALBLOCK INDUSTRIA E COMERCIO LTDA MASSA FALIDA";;"208.053.467,00"
"74.379.686/0001-00";"SMAR COMERCIAL LTDA MASSA FALIDA";;"204.735.000,52"
"19.166.917/0001-99";"MASSA FALIDA EMBRASIL EMPRESA BRASILEIRA DISTRIBUIDORA LTDA";"EMBRASIL";"201.592.670,24"
"00.949.610/0001-36";"MASSA FALIDA  SUPERMERCADO MODELO LTDA";"SUPERMERCADO MODELO";"197.558.963,29"
"23.329.170/0001-10";"MASSA FALIDA DE LAYFF KOSMETIC LTDA";;"182.951.629,79"
"92.997.907/0001-95";"COMPANHIA DOSUL DE ABASTECIMENTO  MASSA FALIDA";"SUPERMERCADOS DOSUL";"177.908.137,47"
"61.577.383/0001-50";"TRANSPORTADORA CORAL S A  MASSA FALIDA";;"173.773.523,00"
"12.869.038/0001-84";"MASSA FALIDA DE SUAPE TEXTIL SA";;"168.920.870,44"
"18.614.602/0001-02";"MASSA FALIDA DE ALCANA DESTILARIA DE ALCOOL DE NANUQUE SA";;"160.022.765,47"
"05.894.060/0004-61";"SAO FERNANDO ACUCAR E ALCOOL LTDA  MASSA FALIDA";"SAO FERNANDO ACUCAR E ALCOOL LTDA.";"157.800.980,53"
"41.053.109/0001-74";"GUARDIOES VIGILANCIA LTDA  MASSA FALIDA";;"154.560.950,38"
"46.761.730/0003-78";"SMAR EQUIPAMENTOS INDUSTRIAIS LTDA MASSA FALIDA";;"150.554.914,37"
"01.791.577/0001-21";"MASSA FALIDA DA GERBI REVESTIMENTOS CERAMICOS LTDA";"GERBI";"147.790.277,53"
"12.686.424/0001-30";"ALGODOEIRA SERTANEJA LTDA  MASSA FALIDA";"SERTANEJO DISTRIBUIDOR";"146.040.435,60"
"60.333.267/0001-22";"MASSA FALIDA DE MERCOSUL COMERCIAL E INDUSTRIAL LTDA";"MERCOSUL COMERCIAL";"143.062.324,92"
"17.280.025/0001-99";"MASSA FALIDA DE CASA DO RADIO LTDA";;"141.702.253,40"
"98.038.771/0001-72";"TRANSPORTADORA TRESMAIENSE LTDA  MASSA FALIDA";;"135.166.176,91"
"89.547.269/0001-04";"DIGITEL S A INDUSTRIA ELETRONICA  MASSA FALIDA";"DIGITEL";"132.637.918,41"
"04.275.196/0001-88";"MASSA FALIDA DA ZL AMBIENTAL LTDA";"ZL AMBIENTAL";"132.387.424,03"
"05.894.060/0001-19";"SAO FERNANDO ACUCAR E ALCOOL LTDA  MASSA FALIDA";;"132.348.667,94"
"78.384.674/0001-24";"MASSA FALIDA DE EXPRESSO MARINGA TRANSPORTES LTDA";;"128.546.932,83"
"07.929.985/0001-83";"MASSA FALIDA DE USINA NAVIRAI SA  ACUCAR E ALCOOL";"USINAVI";"128.368.805,84"
"68.271.295/0001-74";"MASSA FALIDA DA PONTUAL LEASING SA  ARRENDAMENTO MERCANTIL";"PONTUAL LEASING";"126.239.510,63"
"85.010.650/0001-70";"MASSA FALIDA DE ESTOFADOS CONFORTO LTDA";;"115.482.398,12"
"97.415.681/0001-90";"MASSA FALIDA RENTAL FROTA DISTRIBUICAO E LOGISTICA LTDA";;"114.475.422,35"
"73.304.131/0001-36";"MASSA FALIDA DE VITAE SERVICOS ASSISTENCIAIS LTDA";;"112.893.679,97"
"75.637.793/0001-53";"MAGISTRAL IMPRESSORA INDUSTRIAL S.A. MASSA FALIDA";;"109.946.506,75"
"45.384.096/0001-77";"MASSA FALIDA TIPTOE INDUSTRIA E COMERCIO DE CALCADOS LTDA";"RISSYBEL";"109.498.496,49"
"04.128.681/0001-29";"MASSA FALIDA DE INDUSTRIA E COMERCIO DE AUTOPECAS DRUCKLAGER LTDA";;"107.151.553,19"
"33.069.691/0001-39";"MASSA FALIDA DE MOTORTEC INDUSTRIA AERONAUTICA SOCIEDADE ANONIMA";;"104.388.680,25"
"62.024.682/0001-20";"MASSA FALIDA DE INDUSTRIA DE MOLAS ACO LTDA.";;"101.861.282,91"
"76.491.828/0001-51";"MASSA FALIDA EMILIO ROMANI SOCIEDADE ANONIMA";;"99.433.108,77"
"01.822.428/0001-82";"FRINORTE FRIGORIFICO NORTE LTDA  MASSA FALIDA";;"97.901.661,81"
"25.100.223/0094-50";"MASSA FALIDA DE RODOVIARIO RAMOS LTDA";;"97.228.189,72"
"97.754.063/0001-75";"MASSA FALIDA DE INDUSTRIA DE PRODUTOS ALIMENTICIOS INSTANTANEOS LTDA";;"92.342.166,47"
